"","Region","Population2021","fertility_rate","unis_colleges_number","teaching_staff","students_enrolled","graduates_uni","ratio_grad_enrolled_unis","TotalSchools","gradtotot57","gradtotot812","employees_laborcontract_avg","employees_laborcontract_avg_topop","avgwage","activity_rate","labour_force_thousands","employment_rate","foreign_direct_investment_euro","books_pamphlets","accommodation_establishments","arrivals_accommodation","revenue_accomm_lev","crimes","ecological_assets","water_supply2020","connected_to_wastewater_collecting","Pop_watersupplyregime","waste_thousandtons","hospitals2021","kmeans4","labs_pca_hc4"
"1","Vidin",78814,1.65137058558934,0,9,453,69,0.152317880794702,191,0.334521384928717,0.215301286391334,15333,0.19454665414774,11253,69,32.2,57.5,79389.7,8,24,26673,2219987,393,26385,99.79,57.72,0,29.921,2,"2","2"
"2","Vratsa",153700,1.75601395204043,0,187,1223,184,0.150449713818479,371,0.301114444920703,0.331230283911672,36189,0.235452179570592,15537,65.2,62.3,58.5,121983.8,26,27,32981,2412077,1047,520015,99.63,57.71,1.09,39.604,12,"2","2"
"3","Lovech",119780,1.88338894541393,0,31,152,40,0.263157894736842,295,0.30314613349015,0.290405336069779,30310,0.253047253297712,12594,69,49.6,65,139125.1,7,72,118120,12793079,724,185982,99.67,68.8,4.36,39.8,8,"1","2"
"4","Montana",122179,1.72573451765843,0,160.4,1101,161,0.141033887644277,302,0.3032219211081,0.186836518046709,26624,0.217909788097791,12487,63.4,47.1,52.5,36326.8,12,23,29679,2330266,767,86829,98.55,60.97,1.22,35.833,5,"2","2"
"5","Pleven",228300,1.66050798985385,2,575,3677,512,0.139243948871363,586,0.280641294575966,0.15620473201352,55555,0.243342093736312,12660,69,94.6,62,301702.9,187,23,37428,3313494,1053,147495,100,60.21,1.93,107.728,13,"2","2"
"6","Veliko Tarnovo",225674,1.34979823474855,3,1149,15725,4604,0.292782193958665,499,0.306041478809738,0.22212593876372,62535,0.277103255137942,13008,75,107.4,72.2,92723.8,600,117,144312,10532771,868,227443,99.76,69.51,6.04,81.663,13,"1","1"
"7","Gabrovo",103404,1.43334296511758,1,187,4792,649,0.135434056761269,204,0.327805630543772,0.211992731677771,36919,0.35703647827937,13902,72.5,45,67.3,347581.9,88,62,74385,5297589,543,141928,98.81,84.11,9.91,43.983,7,"1","1"
"8","Razgrad",107764,1.53165965318387,0,39,250,66,0.264,289,0.309049330284221,0.191096634093377,25216,0.23399279907947,13902,61.9,43.2,54.5,209728.4,35,19,24696,2186085,728,155353,100,41.62,0,51.73,3,"2","2"
"9","Ruse",209084,1.40471124604356,1,373,5732,1290,0.225052337752966,433,0.297286896286319,0.197033898305085,62815,0.300429492452794,13591,74.9,100.1,71.4,445185.5,247,56,79506,6237794,778,224304,100,68,0,89.96,9,"1","1"
"10","Silistra",104869,1.60025230965516,0,78,264,32,0.121212121212121,246,0.300970873786408,0.203021148036254,19916,0.189913129714215,11727,65.4,42.7,55.8,41395.7,70,25,20195,1406974,493,131420,99.99,51.19,0,40.742,3,"2","2"
